iter	Passed	Remaining
0	31	15787
1	62	15607
2	103	17141
3	137	17009
4	167	16539
5	196	16176
6	221	15629
7	249	15314
8	274	14991
9	304	14904
10	332	14784
11	362	14749
12	395	14804
13	423	14701
14	453	14657
15	483	14612
16	523	14886
17	555	14866
18	592	15002
19	629	15103
20	668	15252
21	707	15361
22	748	15530
23	791	15696
24	841	15992
25	885	16140
26	919	16106
27	1002	16893
28	1124	18260
29	1197	18756
30	1252	18953
31	1300	19017
32	1345	19035
33	1379	18901
34	1411	18747
35	1442	18593
36	1473	18443
37	1501	18259
38	1530	18088
39	1559	17933
40	1585	17744
41	1607	17533
42	1631	17343
43	1658	17187
44	1681	17005
45	1709	16869
46	1735	16731
47	1760	16580
48	1783	16418
49	1807	16264
50	1827	16092
51	1853	15971
52	1878	15843
53	1902	15713
54	1924	15567
55	1950	15463
56	1979	15382
57	2077	15829
58	2137	15979
59	2189	16054
60	2251	16203
61	2300	16252
62	2349	16296
63	2389	16275
64	2426	16237
65	2464	16203
66	2507	16205
67	2550	16205
68	2589	16178
69	2623	16112
70	2687	16239
71	2744	16314
72	2787	16303
73	2814	16204
74	2839	16093
75	2865	15987
76	2889	15875
77	2914	15766
78	2940	15669
79	2964	15565
80	2987	15453
81	3009	15342
82	3037	15260
83	3064	15174
84	3092	15096
85	3121	15025
86	3148	14945
87	3177	14874
88	3202	14787
89	3230	14717
90	3254	14626
91	3282	14555
92	3308	14479
93	3334	14400
94	3357	14315
95	3383	14238
96	3409	14164
97	3434	14088
98	3460	14015
99	3485	13942
100	3511	13873
101	3540	13814
102	3572	13770
103	3605	13729
104	3639	13689
105	3666	13626
106	3697	13579
107	3725	13522
108	3750	13455
109	3777	13391
110	3806	13341
111	3836	13291
112	3866	13240
113	3892	13180
114	3919	13122
115	3940	13044
116	3964	12976
117	3990	12917
118	4012	12848
119	4039	12790
120	4063	12726
121	4090	12673
122	4118	12624
123	4145	12571
124	4173	12521
125	4197	12460
126	4224	12408
127	4251	12354
128	4280	12309
129	4303	12247
130	4326	12187
131	4349	12125
132	4373	12069
133	4398	12014
134	4423	11960
135	4445	11898
136	4475	11858
137	4502	11810
138	4525	11753
139	4555	11714
140	4585	11675
141	4616	11639
142	4646	11601
143	4679	11568
144	4706	11523
145	4735	11481
146	4775	11466
147	4810	11441
148	4848	11421
149	4881	11389
150	4913	11355
151	4958	11352
152	5001	11343
153	5044	11333
154	5082	11313
155	5123	11297
156	5166	11287
157	5208	11273
158	5249	11258
159	5301	11266
160	5347	11259
161	5380	11226
162	5410	11186
163	5448	11162
164	5476	11119
165	5506	11078
166	5533	11034
167	5560	10988
168	5588	10944
169	5613	10897
170	5640	10851
171	5673	10819
172	5707	10787
173	5736	10748
174	5766	10708
175	5799	10676
176	5834	10647
177	5861	10602
178	5887	10557
179	5916	10517
180	5950	10487
181	5980	10450
182	6009	10409
183	6037	10368
184	6062	10322
185	6094	10287
186	6123	10249
187	6155	10215
188	6184	10176
189	6210	10133
190	6239	10095
191	6270	10059
192	6302	10025
193	6335	9992
194	6366	9957
195	6391	9913
196	6419	9873
197	6447	9833
198	6476	9796
199	6501	9752
200	6524	9704
201	6551	9665
202	6574	9619
203	6600	9577
204	6624	9532
205	6650	9491
206	6676	9450
207	6699	9405
208	6728	9368
209	6753	9326
210	6788	9298
211	6815	9259
212	6846	9225
213	6871	9183
214	6895	9140
215	6919	9097
216	6945	9058
217	6968	9014
218	6996	8976
219	7020	8934
220	7046	8896
221	7069	8853
222	7096	8815
223	7121	8774
224	7146	8734
225	7175	8699
226	7203	8662
227	7229	8624
228	7259	8590
229	7284	8551
230	7310	8513
231	7341	8480
232	7373	8448
233	7406	8418
234	7435	8384
235	7462	8348
236	7491	8312
237	7517	8275
238	7543	8237
239	7565	8196
240	7591	8158
241	7616	8119
242	7641	8081
243	7663	8040
244	7690	8004
245	7718	7969
246	7744	7932
247	7770	7896
248	7794	7857
249	7818	7818
250	7846	7784
251	7872	7747
252	7895	7708
253	7921	7672
254	7943	7632
255	7968	7595
256	7990	7555
257	8012	7515
258	8037	7479
259	8062	7441
260	8083	7402
261	8107	7365
262	8133	7329
263	8163	7298
264	8192	7265
265	8225	7235
266	8257	7206
267	8286	7173
268	8315	7140
269	8341	7105
270	8368	7071
271	8393	7035
272	8418	6999
273	8442	6963
274	8467	6927
275	8490	6891
276	8514	6854
277	8537	6817
278	8565	6784
279	8587	6746
280	8609	6709
281	8634	6674
282	8660	6640
283	8688	6608
284	8710	6570
285	8736	6536
286	8767	6506
287	8792	6472
288	8814	6435
289	8845	6405
290	8875	6374
291	8905	6343
292	8929	6308
293	8951	6271
294	8979	6239
295	9004	6205
296	9029	6171
297	9054	6137
298	9082	6105
299	9106	6070
300	9129	6035
301	9154	6001
302	9179	5968
303	9208	5937
304	9233	5903
305	9260	5870
306	9285	5837
307	9310	5804
308	9333	5769
309	9353	5732
310	9377	5698
311	9403	5666
312	9429	5633
313	9449	5597
314	9475	5564
315	9497	5530
316	9519	5495
317	9541	5461
318	9566	5428
319	9607	5404
320	9633	5372
321	9659	5339
322	9683	5306
323	9711	5275
324	9738	5243
325	9762	5210
326	9788	5178
327	9814	5146
328	9838	5113
329	9868	5083
330	9892	5050
331	9915	5017
332	9938	4984
333	9960	4950
334	9984	4917
335	10009	4885
336	10033	4852
337	10056	4819
338	10079	4787
339	10103	4754
340	10135	4725
341	10156	4692
342	10182	4660
343	10210	4630
344	10238	4599
345	10260	4566
346	10284	4534
347	10306	4501
348	10332	4470
349	10355	4438
350	10378	4405
351	10402	4373
352	10426	4341
353	10452	4310
354	10477	4279
355	10501	4247
356	10527	4216
357	10555	4186
358	10580	4155
359	10606	4124
360	10631	4093
361	10656	4062
362	10682	4031
363	10709	4001
364	10734	3970
365	10766	3941
366	10789	3909
367	10814	3879
368	10835	3846
369	10858	3815
370	10885	3785
371	10908	3753
372	10929	3721
373	10955	3690
374	10980	3660
375	11002	3628
376	11027	3597
377	11049	3566
378	11071	3534
379	11095	3503
380	11115	3471
381	11142	3441
382	11165	3410
383	11192	3381
384	11219	3351
385	11245	3321
386	11270	3290
387	11296	3260
388	11321	3230
389	11343	3199
390	11366	3168
391	11391	3138
392	11415	3108
393	11436	3076
394	11462	3046
395	11482	3015
396	11505	2984
397	11528	2954
398	11550	2923
399	11571	2892
400	11595	2862
401	11621	2832
402	11649	2804
403	11677	2774
404	11701	2744
405	11726	2715
406	11751	2685
407	11774	2655
408	11796	2624
409	11821	2594
410	11842	2564
411	11867	2534
412	11897	2506
413	11920	2476
414	11946	2446
415	11968	2416
416	11990	2386
417	12015	2357
418	12039	2327
419	12059	2297
420	12082	2267
421	12102	2237
422	12129	2207
423	12154	2178
424	12179	2149
425	12203	2119
426	12227	2090
427	12251	2060
428	12272	2031
429	12297	2001
430	12318	1972
431	12344	1943
432	12367	1913
433	12388	1884
434	12413	1854
435	12435	1825
436	12457	1795
437	12481	1766
438	12504	1737
439	12527	1708
440	12551	1679
441	12576	1650
442	12599	1621
443	12626	1592
444	12652	1563
445	12679	1535
446	12705	1506
447	12733	1477
448	12761	1449
449	12788	1420
450	12811	1391
451	12836	1363
452	12864	1334
453	12889	1305
454	12916	1277
455	12941	1248
456	12965	1219
457	12988	1191
458	13010	1162
459	13030	1133
460	13054	1104
461	13077	1075
462	13099	1046
463	13128	1018
464	13152	989
465	13177	961
466	13202	932
467	13229	904
468	13252	875
469	13274	847
470	13296	818
471	13317	790
472	13341	761
473	13365	733
474	13385	704
475	13409	676
476	13434	647
477	13457	619
478	13480	590
479	13501	562
480	13525	534
481	13552	506
482	13577	477
483	13597	449
484	13623	421
485	13650	393
486	13675	365
487	13699	336
488	13723	308
489	13748	280
490	13770	252
491	13792	224
492	13814	196
493	13837	168
494	13861	140
495	13883	111
496	13906	83
497	13932	55
498	13958	27
499	13980	0
